item_id;title;type;description;emotion_target;score
1;5-minute calming breathing;exercise;Short guided breathing to reduce stress;Angry;0.80
2;Cooling down after conflict;exercise;A structured way to cool down after an argument.;Angry;0.75
3;Energy-boost happy playlist;music;Upbeat,  positive tracks to lift your mood ;Amused;0.85
4;Light amusement video suggestion;video;Watch something light and funny to gently lift your mood;Amused;0.80
5;Gentle sleep meditation;meditation;Soft voice guidance to help you unwind and fall asleep;Sleepy;0.90
6;Relaxing nature sounds;music;Calming natural sounds to promote relaxation;Neutral;0.65
7;Deep sleep music;music;Music designed to help you fall asleep;Sleepy;0.92
8;Guided anxiety relief;exercise;Guided exercises to alleviate anxiety;Angry;0.70
9;Upbeat pop playlist;music;A playlist of energetic pop songs;Amused;0.77
10;Meditation for stress relief;meditation;Meditation session to relieve stress;Neutral;0.60
11;Peaceful piano music;music;Soft piano music to help calm the mind;Neutral;0.55
12;Chill vibes music;music;Laid-back music to wind down after a busy day;Sleepy;0.88
13;Motivational morning exercise;exercise;Start your day with an energizing workout;Angry;0.62
14;Happy yoga session;exercise;A fun and relaxing yoga routine;Amused;0.78
15;Laughter therapy;exercise;A session of laughter therapy to lift your spirits;Amused;0.79
16;Calming nature walk;exercise;A peaceful walk through a serene landscape;Sleepy;0.82
17;Sleep music for kids;music;Gentle sleep music tailored for children;Sleepy;0.93
18;Guided visualization for stress;meditation;A visualization exercise to relieve stress;Angry;0.68
19;Relaxing beach sounds;music;Soft beach sounds to help you relax;Neutral;0.64
20;Motivation for the day;video;A motivational video to start your day;Amused;0.75
21;Mindful breathing for sleep;meditation;Mindful breathing exercise to promote restful sleep;Sleepy;0.91
22;Soothing music for sleep;music;Calm and peaceful music for a deep sleep;Sleepy;0.89
23;Quick anger management tips;exercise;Quick exercises to reduce anger and frustration;Angry;0.78
24;Restorative yoga session;exercise;A yoga session designed to restore energy;Sleepy;0.85
25;Playful dance break;exercise;Get up and dance to lift your mood!;Amused;0.76
26;Joyful morning stretch;exercise;Start your day with a gentle,  joyful stretch;Amused;0.72
27;Progressive muscle relaxation;meditation;A relaxation exercise focusing on tense and relaxed muscles;Sleepy;0.87
28;Positive affirmation session;exercise;Boost your mood with positive affirmations;Amused;0.80
29;Chanting for calmness;meditation;A calming chanting exercise to soothe the mind;Sleepy;0.83
30;Feel-good acoustic playlist;music;Soft and uplifting acoustic music to feel good;Amused;0.85
31;Morning motivation video;video;A motivational video to start your day;Amused;0.78
32;Self-care relaxation routine;exercise;Relax and unwind with a soothing self-care routine;Sleepy;0.80
33;Interactive stress-relief game;video;An interactive game designed to help reduce stress;Neutral;0.65
34;Deep breathing for anger relief;exercise;Deep breathing exercises to help release anger;Angry;0.70
35;Yoga for relaxation;exercise;Calming yoga session designed to reduce stress;Neutral;0.60
36;Chilled out jazz music;music;Smooth jazz music to help you relax;Sleepy;0.88
37;Peaceful walk through nature;exercise;A calming walk through a natural landscape;Sleepy;0.90
38;Sleep sound effects;music;Sounds that help promote a peaceful night's sleep;Sleepy;0.92
39;Calm and peaceful meditation;meditation;Guided meditation to calm your mind;Neutral;0.64
40;Get active morning routine;exercise;Start your day with a quick,  energizing routine;Angry;0.62
41;Happiness playlist;music;Music that lifts your spirits and boosts your happiness;Amused;0.76
42;Yoga for mindfulness;exercise;Slow yoga session to help you stay present and mindful;Sleepy;0.85
43;Positive thinking audio;exercise;Audio to guide you through positive thinking exercises;Amused;0.70
44;Deep sleep meditation;meditation;Deep meditation to prepare for a restful night’s sleep;Sleepy;0.91
45;Refresh and recharge playlist;music;Upbeat playlist to help refresh and recharge your energy;Amused;0.79
